ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang
7,Hillsbrad Foothills,Join the Forsaken war machine as it marches on Hillsbrad Foothills for the Horde!,Start Quest,,
8,Ashenvale,Drive the night elves from Ashenvale and claim its resources for the Horde!,Start Quest,,
9,Wailing Caverns,Adventure inside the Wailing Caverns and fight the wicked Druids of the Fang.,Join Group,,
10,Deadmines,Explore the abandoned mines beneath Westfall where the Defias Brotherhood musters its outlaw army.,Join Group,,
12,Shadowfang Keep,"A ruined keep overlooking Silverpine Forest, this dark fortress serves as home to a cabal of fallen Gilnean nobility.",Join Group,,
13,Warsong Gulch,Claim Warsong Gulch for the Horde in this capture-the-flag battleground.,Join the Fight!,,
14,Arathi Basin,Fight Alliance players for control of Arathi Basin in this resource-race battleground.,Join the Fight!,,
17,Ragefire Chasm,Battle the dark cult known as the Searing Blade inside the volcanic caverns beneath Orgrimmar!,Join Group,,
21,Random Dungeon,Run a random Warlords of Draenor dungeon to upgrade your character's gear!,Join Group,,
27,Random Battleground,Battle other players inside a Random Battleground!,Join the Fight!,,
29,Silverpine Forest,Aid the Forsaken High Command in conquering the port of Gilneas for the Horde!,Start Quest,,
30,Vashj'ir,Join the invasion fleet to secure a new island off the coast of the Alliance capital of Stormwind!,Start Quest,,
31,Mount Hyjal,"Deathwing's minions have begun an assault on the World Tree. Our allies, the Cenarion Circle, need your help!",Start Quest,,
32,Deepholm,Thrall and the Earthen Ring need your aid in assaulting the elemental plane of Deepholm!,Start Quest,,
33,Hillsbrad Foothills,Join the Forsaken war machine as it marches on Hillsbrad Foothills for the Horde!,Start Quest,,
34,Northern Barrens,Your help is needed to secure the Northern Barrens against the encroaching quilboars and centaurs!,Start Quest,,
35,Azshara,Aid in driving back the encroaching Alliance forces and assist in securing Azshara for the glory of the Horde!,Start Quest,,
36,Thousand Needles,Join the Horde forces fighting against the renegade Grimtotems who dominate Thousand Needles.,Start Quest,,
37,Tanaris,Help the Horde and the Bilgewater Cartel establish a presence in Tanaris before the Alliance does!,Start Quest,,
38,Feralas,Help the Horde secure the great forest of Feralas against the Alliance and the Grimtotems.,Start Quest,,
39,Un'Goro Crater,Provide aid to the Marshal Expeditions' personnel as they uncover the secrets of Un'Goro Crater.,Start Quest,,
40,Silithus,Our Cenarion allies need your aid in their battle to turn back Twilight's Hammer in Silithus.,Start Quest,,
41,Stonetalon Mountains,The Horde forces in Stonetalon Mountains need your help to drive back the Alliance invaders and protect our people.,Start Quest,,
42,Felwood,The Cenarion Circle requires your help to wrest Felwood from the control of demons and other corrupt creatures!,Start Quest,,
43,Winterspring,Donova Snowden may have discovered the key to dealing with the Winterfall furbolg threat in Winterspring once and for all,Start Quest,,
44,Desolace,The brave Horde warriors of Desolace need your help to beat back the armies of the Alliance and ancient demons.,Start Quest,,
45,Southern Barrens,"With the recent Alliance victories in the Barrens, our enemies are threatening to cut our supply lines.  They must be stopped!",Start Quest,,
46,Dustwallow Marsh,Dustwallow Marsh is overrun with enemies of many kinds and the Alliance forces there are dangerously strong.,Start Quest,,
47,Uldum,Ancient texts tell us that Uldum is home to untold riches and treasures beyond compare. Claim these in the name of the Horde!,Start Quest,,
48,Ghostlands,Your help is needed to turn back the numberless Scourge invaders and secure the help of the Forsaken in fighting the Scourge.,Start Quest,,
49,Arathi Highlands,The Dark Lady's forces need your help to expand the dominions of the Horde and drive back the Alliance.,Start Quest,,
50,Hinterlands,The Wildhammer dwarves of the Hinterlands have officially thrown in their lot with the Alliance and must be defeated!,Start Quest,,
51,Western Plaguelands,The Alliance forces are advancing into the ruined city of Andorhal. Stop them before they can gain a foothold there!,Start Quest,,
52,Eastern Plaguelands,The Argent Crusade has reinforced its presence in the Eastern Plaguelands and it needs your help to consolidate its victories.,Start Quest,,
53,Badlands,The Alliance is desperate to gain a foothold in the Badlands. Keep them at bay at all costs!,Start Quest,,
54,Searing Gorge,The Shattered Hand reports that the Dark Iron dwarves of the Searing Gorge seem to be preparing for war.,Start Quest,,
55,Burning Steppes,"Eitrigg's son, Ariok, needs your assistance to halt the blind aggression of the Blackrock orcs.",Start Quest,,
56,Blasted Lands,"Okrilla, commander of the Horde forces at Dreadmaul Hold, requires your help to secure the outpost against rebellious ogres.",Start Quest,,
57,Swamp of Sorrows,Persuade Trade Baron Silversnap to continue supplying the Horde with weapons and munitions!,Start Quest,,
58,Northern Stranglethorn Vale,The commander in Northern Stranglethorn Vale requires your aid to keep the supply routes open.,Start Quest,,
59,The Cape of Stranglethorn,Our forces in the Cape of Stranglethorn require your help to deal with the pirates and naga who have overrun the jungle.,Start Quest,,
60,Outland,Your skills are needed to fight the Burning Legion's presence on the shattered remnants of Outland.,Start Quest,,
61,Northrend,The Warsong Offensive in Northrend needs your help to overcome the continued threat from the undead Scourge.,Start Quest,,
62,Twilight Highlands,The Warchief requires your help to prepare for an assault on the Twilight Highlands!,Start Quest,,
63,Redridge Mountains,Alliance forces in the Redridge Mountains are spread too thin and need your help.,Start Quest,,
64,The Hinterlands,Our new brothers in the Alliance need your help to fend off the aggressive Horde offensive in their beloved homeland.,Start Quest,,
65,Westfall,"The crime rate of Westfall has skyrocketed as people fight for shelter and food. If you want to help the Alliance, this would be a good place to start.",Start Quest,,
66,Duskwood,The citizens of Duskwood are in dire need of your assistance!,Start Quest,,
67,Vashj'ir,Recent attacks by the Horde on our trade ships off the coast of Stormwind Harbor must be met with swift and just force!,Start Quest,,
68,Mount Hyjal,Your help is needed at Mount Hyjal. The Cenarion Circle reports that Deathwing's minions have launched a destructive offensive against the world tree!,Start Quest,,
69,Deepholm,The Earthen Ring requires our aid! They report that the elemental plane of Deepholm threatens to overtake our world and destroy all life on Azeroth!,Start Quest,,
70,Darkshore,The people of Lor'danel need your aid in securing their town against the Twilight's Hammer.,Start Quest,,
71,Ashenvale,The Horde's aggression in Ashenvale cannot be allowed to stand! Repel the invaders and restore the sacred forest.,Start Quest,,
72,Thousand Needles,The sentinels of Thousand Needles need your help to turn back the marauding Grimtotem raiders who dominate the area.,Start Quest,,
73,Tanaris,The Alliance needs your help to win concessions from the local baron of Tanaris and access to the desert's priceless resources.,Start Quest,,
74,Feralas,"The Alliance forces of Feralas need your help to overcome our enemies, the Horde and the Grimtotems.",Start Quest,,
75,Un'Goro Crater,The Alliance needs you to provide support to the Marshal Expeditions as they uncover the secrets of Un'Goro Crater.,Start Quest,,
76,Silithus,Our Cenarion Circle allies in Silithus require your assistance to fight back against the Twilight's Hammer onslaught.,Start Quest,,
77,Desolace,"The brave soldiers of the Desolace are beset by demons and the armies of the Horde, and they need your help.",Start Quest,,
78,Stonetalon Mountains,The Horde's forces are poised to push into Stonetalon and they must be opposed!,Start Quest,,
79,Felwood,The Emerald Sanctuary requires your help to redeem Felwood from the demonic influences that rule the forest.,Start Quest,,
80,Winterspring,Donova Snowden in Winterspring requires your help to overcome the threat of the Winterfall furbolg.,Start Quest,,
81,Southern Barrens,Alliance soldiers have made tremendous gains in the Southern Barrens. Your efforts are needed to consolidate their victory!,Start Quest,,
82,Dustwallow Marsh,"You must aid SI:7's Calia Hastings in uncovering the threats to Theramore, both within the city and beyond its walls.",Start Quest,,
83,Uldum,Be one of the first to enter glorious Uldum and claim its treasures in honor of the Alliance!,Start Quest,,
84,Bloodmyst Isle,The people of Bloodmyst need your help to deal with treacherous blood elves and dangerous creatures loose on the island.,Start Quest,,
85,Wetlands,"In the wake of the cataclysm's destruction, Wetlands has become overrun with wild beasts, orcish raiders, and savage gnolls!",Start Quest,,
86,Loch Modan,The destruction of the Stonewrought Dam has the dwarven mountaineers stretched thin. Reinforcements are desperately needed!,Start Quest,,
87,Arathi Highlands,Your aid is needed in Arathi Highlands. Ancient Stromgarde's honor must be redeemed!,Start Quest,,
88,Western Plaguelands,"On the heels of our early victories in Andorhal, the Forsaken have decided to launch a counterattack. Your help is needed to beat back the Scourge and Horde and reclaim lost Andorhal in the Western Plaguelands.",Start Quest,,
89,Eastern Plaguelands,The Argent Crusade needs your help to win back the Eastern Plaguelands from the grasp of the Scourge.,Start Quest,,
90,Badlands,"Your help is needed to survey the damage done by Deathwing, and the disposition of Horde forces in the Badlands.",Start Quest,,
91,Searing Gorge,SI:7 reports that the Dark Iron dwarves of the Searing Gorge are preparing to attack. Stop them before it's too late!,Start Quest,,
92,Burning Steppes,Your aid is urgently needed to put an end to the Blackrock orc menace in the Burning Steppes!,Start Quest,,
93,Blasted Lands,Nethergarde's garrison urgently needs your help to stem the Horde advance into the Blasted Lands!,Start Quest,,
94,Swamp of Sorrows,The Alliance needs you to secure a steady supply of munitions from the Trade Baron Silversnap in the Swamp of Sorrows!,Start Quest,,
95,Northern Stranglethorn Vale,"Years after Colonel Kurzen's treachery against Stormwind, his fate remains a mystery. Aid the survivors in learning what became of the colonel.",Start Quest,,
96,The Cape of Stranglethorn,The Explorers' League expedition in the Cape of Stranglethorn needs your help to safeguard its site and findings from marauding ogres.,Start Quest,,
97,Outland,The expeditionary forces require your help to overcome the demonic armies of the Burning Legion that are invading from Outland!,Start Quest,,
98,Northrend,The Valiance Expedition needs your help in Northrend to keep the forces of the Scourge under control and safeguard civilized lands!,Start Quest,,
99,Twilight Highlands,King Wrynn requires a trustworthy and proven hero for a mission of the utmost importance.,Start Quest,,
100,Pandaria,Present yourself at Grommash Hold to swear an oath of allegiance to the new Warchief!,Start Quest,,
101,Valley of the Four Winds,The locals have spoken of a powerful pandaren monk travelling into the Valley of the Four Winds. Can you win him as an ally?,Start Quest,,
102,Kun-Lai Summit,Survivors of the battle in Jade Forest have made their way to Kun-Lai Summit and are in dire need of your aid.,Start Quest,,
103,Townlong Steppes,The Shado-Pan are mounting an incursion over the great wall into the Townlong Steppes. Assist them in this daring assault!,Start Quest,,
104,Dread Wastes,The Shado-pan of the great wall call for reinforcements against the mantid forces of the Dread Wastes. They need your help!,Start Quest,,
105,Vale of Eternal Blossoms,The Vale of Eternal Blossoms is under attack. Prince Anduin Wrynn requires your aid at the Temple of the White Tiger in Kun-Lai Summit to convince the peoples of Pandaria to allow outsiders access to the Vale so that they may help in its time of need.,Start Quest,,
106,Vale of Eternal Blossoms,The Vale of Eternal Blossoms is under attack. Sunwalker Dezco requires your aid at the Temple of the White Tiger.,Start Quest,,
107,Draenor,"Archmage Khadgar, hero of the Second War, is assembling a coalition of Azeroth's strongest to step through the Dark Portal.",Start Quest,,Help Archmage Khadgar fight the Iron Horde and shut down the Dark Portal inside Tanaan Jungle!
108,Draenor,"Archmage Khadgar, hero of the Second War, is assembling a coalition of Azeroth's strongest to step through the Dark Portal.",Start Quest,,Help Archmage Khadgar fight the Iron Horde and shut down the Dark Portal inside Tanaan Jungle!
109,Gorgrond,"Commander, Durotan calls for aid in leading a small strike team into Gorgrond to launch a counter attack against the Iron Horde stronghold there.",Start Quest,,
110,Gorgrond,"Commander, Yrel and Maraad call for aid in leading a small strike team into Gorgrond to launch a counter attack against the Iron Horde stronghold there.",Start Quest,,
111,Talador,"The Iron Horde has made landfall in Talador and seeks to secure this crossroads territory from us. Commander, your forces are needed.",Start Quest,,
112,Spires of Arak,Spires of Arak is rife with war and rebellion. The exiles of the arakkoa are fleeing in droves and could prove valuable allies.,Start Quest,,
113,Spires of Arak,"Commander, the Spires of Arak is rife with war and rebellion. The exiles of the arakkoa are fleeing the land in droves and could prove valuable allies.",Start Quest,,
114,Talador,"The Iron Horde has made landfall in Talador and seeks to secure this crossroads territory from us. Commander, your forces are needed.",Start Quest,,
115,Nagrand,"Thrall has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,
116,Nagrand,"Vindicator Yrel has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,
117,Prepare for Invasion!,The Warchief Vol'jin has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to Warchief Vol'jin inside your garrison to plan the invasion of Tanaan Jungle.
118,Arathi Basin,Fight Horde players for control of Arathi Basin in this resource-race battleground.,Join the Fight!,,
119,Prepare for Invasion!,King Varian Wrynn has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to King Varian Wrynn inside your garrison to plan the invasion of Tanaan Jungle.
120,Blackfathom Deeps,This ancient night elf temple has been overrun by the Twilight's Hammer. Defeat them before untold evils below are awoken!,Join Group,,
123,Stormwind Stockade,The prisoners of the Stormwind Stockades are attempting to escape. Stop them!,Join Group,,
124,Gnomeregan,"Delve into the irradiated capital city of Gnomeregan to clean out its infestation of troggs, leper gnomes, and technological terrors.",Join Group,,
125,Scarlet Halls,The fiercest warriors of the Scarlet Crusade are raising an army within the Scarlet Halls. Defeat them before they can unleash their forces.,Join Group,,
126,Scarlet Monastery,"Attack the Scarlet Monastery, stronghold of the Scarlet Crusade, and bring justice to their zealous leaders within.",Join Group,,
127,Maraudon,Travel into the crystal caverns of Maraudon where rumors claim a demonic presence has taken hold.,Join Group,,
128,Razorfen Kraul,"Adventure into the thorned nest of Razorfen Kraul, den and stronghold of the quilboar.",Join Group,,
129,Foulspore Cavern,Adventure into the underground Foulspore Cavern to purge the corruption that grips the roots of Maraudon.,Join Group,,
130,Earth Song Falls,A hero is needed to bring an end to the corruption wrought by Princess Theradras and her minions within the caverns of Maraudon.,Join Group,,
131,Uldaman,"Explore Uldaman, the ruined city of the ancient Titans filled with a host of their failed creations and wondrous treasures.",Join Group,,
132,Warpwood Quarter,Bring an end to the corrupted ancients and inhabitants that infest the eastern wing of ruins at Dire Maul.,Join Group,,
133,Scholomance,"A hero is needed to face the dreaded necromancers and their undead creations at their school of knowledge, Scholomance.",Join Group,,
134,Capital Gardens,The elves' blind pursuit to regain their immortality led to a dark curse. Venture into the ruins of Dire Maul and put an end to it.,Join Group,,
135,Razorfen Downs,Undead sightings in this quilboar stronghold have given rise to the concern that the Scourge may be gaining a foothold in Kalimdor.,Join Group,,
136,Gordok Commons,The brutal Gordok ogres have seized control of the northern wing of the Dire Maul and are exploiting the power within.,Join Group,,
137,Stratholme - Main Gate,The once great human city of Stratholme is now a ruined nest of undeath. Only the bravest of heroes dare cross the front gate.,Join Group,,
138,Zul'Farrak,The once powerful and cruel sandfury trolls of Zul'Farrak appear to be amassing an army of undead. Will you stand against them?,Join Group,,
139,Stratholme - Service Entrance,A side entrance has been revealed into the ruined city of Stratholme.  Use it to launch an attack against the Scourge inside.,Join Group,,
140,The Detention Block,The Dark Iron Dwarves in Blackrock Depths are working with the Twilight's Hammer cultists and must be stopped.,Join Group,,
141,Sunken Temple,Adventure into the Sunken Temple to put an end to the corrupted green dragon wardens there and stop the rogue Atal'ai troll priests.,Join Group,,
142,Blackrock Depths,"Journey deep into the capital of the Dark Iron dwarves to do battle with their evil leader, Emperor Thaurissan.",Join Group,,
143,Lower Blackrock Spire,Battle against the forces of the false horde united under the banner of Warchief Rend Blackhand and his black dragon allies.,Join Group,,
144,Hellfire Ramparts,Assault the nearly impenetrable bastion of the Fel Horde's base of operations in Hellfire Peninsula.,Join Group,,
145,The Blood Furnace,"The Fel Horde is performing dark and disturbing experiments on their own people, forging fierce soldiers of war.",Join Group,,
146,The Slave Pens,Liberate the captives of the sinister Coilfang naga in their Slave Pens in Zangarmarsh.,Join Group,,
147,The Underbog,Adventure into the Underbog facing off against the strange fungal creatures of the deep.,Join Group,,
148,Mana-Tombs,Stop the scavenging ethereals under the banner of Nexus-Prince Shaffar from desecrating the draenei burial chambers within Auchindoun.,Join Group,,
149,Auchenai Crypts,"Explore the ancient Auchenai Crypts, battling the haunted draenei within and giving peace to its mad defenders.",Join Group,,
150,The Escape from Durnholde,Travel back in time to Old Hillsbrad Foothills where vile forces work to assassinate a young Thrall before he can come of age.,Join Group,,
151,Sethekk Halls,Battle the powerful magi of the arakkoa that have seized control of the Sethekk Halls.,Join Group,,
152,The Mechanar,Do battle with the blood elves within the Mechanar before they can unlock the mystical secrets of the naaru held within.,Join Group,,
153,Magisters' Terrace,Kael'thas Sunstrider has revealed his allegiance to the Burning Legion and has retreated to Magisters' Terrace. He must be stopped!,Join Group,,
154,Utgarde Keep,"Once thought to be abandoned, the ancient halls of Utgarde Keep once again thrive with the footsteps of vrykul warriors.",Join Group,,
155,The Nexus,Malygos' forces are redirecting all arcane energies to the Nexus. They must be stopped before magic is removed from our world.,Join Group,,
156,Azjol-Nerub,"Journey into Azjol-Nerub, the once great spider empire that has become a web of undeath loyal to the Lich King.",Join Group,,
157,Ahn'kahet: The Old Kingdom,Travel to the ancient underground city of Ahn'kahet where something terrible has been awoken in the depths of the world.,Join Group,,
158,Drak'Tharon Keep,Assault the walls of Drak'Tharon Keep to do battle with the undead that are seizing control of the keep.,Join Group,,
159,Violet Hold,The Kirin Tor calls for aid as an invasion by the blue dragons threatens to release the most dreaded prisoners held within.,Join Group,,
160,Halls of Stone,Adventure with famed explorer Brann Bronzebeard into the ancient titan foundry of the Halls of Stone.,Join Group,,
161,Gundrak,"The trolls of Gundrak are turning on their own gods, slaying them so that they might gain their power.",Join Group,,
162,Halls of Lightning,Storm Loken's stronghold and face him in his throne room within the Halls of Lightning.,Join Group,,
163,Utgarde Pinnacle,The vrykul King Ymiron has returned and sworn loyalty to the Lich King. Defeat him before his army can reach full strength.,Join Group,,
164,The Oculus,The blue dragonflight at the Oculus is working to channel all magic out of the world into the Twisting Nether and must be stopped.,Join Group,,
165,The Culling of Stratholme,Travel back in time to that fateful day when Prince Arthas rode his army into Stratholme before it could be consumed by the Scourge.,Join Group,,
166,Blackrock Caverns,"Deep within Blackrock Mountain, the Twilight's Hammer works with the forces of Deathwing to craft dangerous monstrosities.",Join Group,,
167,Throne of the Tides,Join forces with the elemental water lord Neptulon as he repels an invasion of the naga and their old god allies.,Join Group,,
168,The Vortex Pinnacle,Journey into the elemental plane of air and do battle with the forces of Skywall and their storm drake allies.,Join Group,,
169,The Stonecore,The Twilight's Hammer cultists and their elemental perversions are fortified within the Stonecore on the elemental plane of earth.,Join Group,,
170,Lost City of the Tol'vir,The tol'vir followers of Neferset have been cured of their curse of flesh and threaten to crush the peace of the lands around them.,Join Group,,
171,Grim Batol,Invaders from the Twilight's Hammer have seized control of the dwarven city of Grim Batol and brought with them an ancient evil.,Join Group,,
172,Stormstout Brewery,Adventure into the famed Stormstout Brewery and help restore order to the chaos that has broken out there.,Join Group,,
173,Temple of the Jade Serpent,Confront the Sha of Doubt as it tries to take hold of the Temple of the Jade Serpent.,Join Group,,
174,Mogu'shan Palace,The three great mogu clans that still hold sway in Pandaria have gathered in strength at the Mogu'shan Palace and must be stopped.,Join Group,,
175,Shado-Pan Monastery,"Confront the Sha of Violence, Anger, and Hatred, as they work to corrupt the ancient order of the Shado-pan to evil purpose.",Join Group,,
176,Bloodmaul Slag Mines,Journey into the dreaded Bloodmaul Slag Mines to liberate the slaves of the ogres within.,Join Group,,
177,Iron Docks,The naval fleet of the Iron Horde is mustering at the Iron Docks in Gorgrond and must be stopped.,Join Group,,
178,Auchindoun,A hero is needed to repel the Shadow Council forces from the ancient draenei crypts at Auchindoun before they can turn the power there to evil.,Join Group,,
179,Skyreach,Assault the Skyreach and the vile arakkoa there who are using the power of the sun against their enemies.,Join Group,,
186,Bonus Event: Skirmishes,Fight other players in Skirmishes for the duration of this Bonus Event!,Start Quest,,
187,Bonus Event: Battlegrounds,Fight other players in Battlegrounds for the duration of this Bonus Event!,Start Quest,,
191,Bonus Event: Pet Battles,Engage in Pet Battles for the duration of this Bonus Event!,Start Quest,,
195,Bonus Event: World Quests,Complete World Quests in Khaz Algar for increased rewards for the duration of this Bonus Event!,Start Quest,Completing this quest will grant you renown with the War Within faction of your choice!,
196,Skirmishes,Battle other players in 2v2 and 3v3 Skirmishes!,Join Skirmishes,,
197,Warsong Gulch,Claim Warsong Gulch for the Alliance in this capture-the-flag battleground.,Join the Fight!,,
198,Kun-Lai Summit,Survivors of the battle in Jade Forest have made their way to Kun-Lai Summit and are in dire need of your aid.,Start Quest,,
199,Brewfest,Brewfest has come under attack by the Dark Iron Dwarves!  Take on their leader inside Black Rock Depths.,Find Group,,
200,Fishing Tournament!,Head to Booty Bay and compete against other players in the Stranglethorn Fishing Tournament!  The contest starts at 2:00 pm.,,,
201,Professions,Professions like Alchemy and Mining allow you to craft and gather useful items.  Talk to a guard in any capital city to find a trainer!,,,
202,Zangarmarsh,Our allies in the Cenarion Expedition require your aid in the swamps of Zangarmarsh.,Start Quest,,
203,Zangarmarsh,Our allies in the Cenarion Expedition require your aid in the swamps of Zangarmarsh.,Start Quest,,
204,Terokkar Forest,Your skills are needed in securing Terokkar Forest from the enemies of the Horde.,Start Quest,,
205,Terokkar Forest,Your skills are needed in securing Terokkar Forest from the enemies of the Alliance.,Start Quest,,
206,Nagrand,The Mag'har of Garadar call for aid. Ride for Nagrand and bring the power of the Horde to their side.,Start Quest,,
207,Nagrand,The King has called for voluteers to negotiate with the Kurenai of Nagrand.,Start Quest,,
208,Secondary Professions,Secondary Professions like Cooking and Fishing are available to all characters.  Talk to a guard in any capital city to find a trainer!,,,
209,Blade's Edge Mountains,"Journey to the Blade's Edge Mountains, stronghold of the ogres and their gronn masters in Outland.",Start Quest,,
210,Blade's Edge Mountains,"Journey to the Blade's Edge Mountains, stronghold of the ogres and their gronn masters in Outland.",Start Quest,,
211,Netherstorm,"Travel to the mana torn landscape of Netherstorm to do battle with demons, minions of Kael'thas, and defiant goblin rockets.",Start Quest,,
212,Netherstorm,"Travel to the mana torn landscape of Netherstorm to do battle with demons, minions of Kael'thas, and defiant goblin rockets.",Start Quest,,
213,Dragonblight,The Alliance is amassing forces in the Dragonblight to stabilize the land and launch an offensive against the Lich King.,Start Quest,,
214,Dragonblight,The Horde is amassing forces in the Dragonblight to stabilize the land and launch an offensive against the Lich King.,Start Quest,,
215,Grizzly Hills,Heroes are needed to aid the Horde in establishing an outpost in the Grizzly Hills.,Start Quest,,
216,Grizzly Hills,Heroes are needed to aid the Alliance in establishing an outpost in the Grizzly Hills.,Start Quest,,
217,Zul'Drak,The Knights of the Ebon Blade and the Argent Crusade need help in battle with the trolls of Zul'Drak and the invading scourge.,Start Quest,,
218,Dalaran,Visit the magical floating city of Dalaran in the skies above Crystalsong Forest.,Start Quest,,
219,Darkmoon Faire,The Darkmoon Faire has arrived!  Look for the portal to Darkmoon Island near Goldshire in Elwynn Forest.,,,
